time,cpu,ram
11:00:47,0.00,0.07
11:00:48,0.00,0.07
11:00:49,0.00,0.07
11:00:51,0.00,0.07
11:00:52,0.00,0.07
11:00:53,0.00,0.07
11:00:54,0.00,0.07
11:00:55,0.00,0.07
11:00:56,1.00,0.07
11:00:58,5.94,0.07
11:00:59,8.91,0.07
11:01:00,10.00,0.07
11:01:01,12.00,0.08
11:01:03,11.00,0.08
11:01:04,13.00,0.08
11:01:05,13.00,0.08
11:01:07,14.00,0.08
11:01:08,14.00,0.08
11:01:09,13.00,0.08
11:01:10,18.00,0.08
11:01:12,17.00,0.08
11:01:13,16.00,0.08
11:01:14,17.00,0.08
11:01:15,16.00,0.08
11:01:16,18.00,0.08
11:01:18,18.00,0.08
11:01:19,16.00,0.08
11:01:20,18.00,0.08
11:01:21,21.00,0.08
11:01:23,19.00,0.08
11:01:24,20.00,0.08
11:01:25,20.00,0.08
11:01:26,21.00,0.08
11:01:28,19.00,0.08
11:01:29,21.00,0.08
11:01:30,20.00,0.08
11:01:32,20.00,0.08
11:01:33,24.00,0.08
11:01:34,25.00,0.08
11:01:35,23.00,0.08
11:01:37,20.00,0.08
11:01:38,21.78,0.08
11:01:39,21.00,0.08
11:01:40,24.00,0.08
11:01:42,25.00,0.08
11:01:43,22.77,0.08
11:01:44,24.00,0.08
11:01:45,24.00,0.08
11:01:46,23.00,0.08
11:01:48,24.00,0.08
11:01:49,27.00,0.08
11:01:50,25.00,0.08
11:01:51,24.00,0.08
11:01:53,22.77,0.08
11:01:54,26.00,0.08
11:01:55,25.00,0.08
11:01:56,25.00,0.08
